Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
187,Seyed Mohsen Mousavi; Salwani Abdullah; Seyed Taghi Akhavan Niaki; Saeed Banihashemi,2021,Intelligent hybrid classification integrating fuzzy rule-based extraction and harmony search optimization: Medical diagnosis applications,Knowledge-Based Systems,Scopus; WoS,10.1016/j.knosys.2021.106943,Malaysia,Clinical decision support,General medical diagnosis,Fuzzy rule-based system (FL),Optimization (Harmony Search),Improve medical diagnosis classification via fuzzy rules + optimization,Medical datasets,Not explicitly reported,Feature scaling; selection (typical),Fuzzy rule extraction + harmony search tuned classifier,Classification-based decision support,Accuracy; F1-score (typical),Improved diagnosis accuracy compared to baselines,High–Moderate (rules interpretable; optimization adds complexity),Benchmark validation,Parameter tuning / overfitting risk,External validation in clinical settings,Supports interpretable diagnostic classification,Classical,Rule uncertainty handling,,Hybrid,Accuracy vs interpretability,Generalizability gap
188,Cinzia Muriana; Tommaso Piazza; Giovanni Vizzini,2016,Expert system for financial performance assessment of health care structures based on fuzzy sets and KPIs,Knowledge-Based Systems,Scopus; WoS,10.1016/j.knosys.2016.01.026,Italy,Healthcare management decision support,Hospital finance,Fuzzy sets (FL),KPI framework,Assess financial performance of healthcare structures using fuzzy KPIs,Institutional KPI data,Not explicitly reported,KPI normalization,Fuzzy expert system over KPIs,Rule-based performance evaluation,Not explicitly reported,Provides systematic fuzzy scoring of financial performance,High (transparent KPIs and rules),Case study / expert validation,Data completeness and KPI subjectivity,Integrate clinical outcomes and quality,Improves managerial decision-making,Classical,KPI uncertainty and vagueness,,Standalone,Transparency vs data dependence,Evidence integration gap
189,Liming Fang; Changchun Yin; Lu Zhou; Yang Li; Chunhua Su; Jinyue Xia,2020,Physiological and behavioral feature authentication for medical cloud based on fuzzy-rough core vector machine,Information Sciences,Scopus; WoS,10.1016/j.ins.2019.08.020,China,Health data security; authentication,Medical cloud systems,Fuzzy-rough sets,ML (core vector machine),Secure authentication using physiological/behavioral features under uncertainty,Sensor/biometric features,Not explicitly reported,Feature normalization,Fuzzy-rough feature modeling + core vector machine,Classification-based authentication,Accuracy; FAR/FRR (typical),Improved authentication robustness vs conventional models,Moderate (feature-based explainability),Experimental validation,Privacy and deployment constraints,Privacy-preserving adaptive authentication,Strengthens secure medical cloud access,Hybrid,Fuzzy-rough uncertainty handling,,Hybrid,Security vs usability,Security deployment gap
190,Yuan Gao; Shiwei Ma; Jingjing Liu; Yanyan Liu; Xianxia Zhang,2021,Fusion of medical images based on salient features extraction by PSO optimized fuzzy logic in NSST domain,Biomedical Signal Processing and Control,Scopus; WoS,10.1016/j.bspc.2021.102852,China,Medical image fusion,Radiology / Imaging,Fuzzy logic (FL),Optimization (PSO); NSST transform,Improve medical image fusion using salient feature extraction + fuzzy logic optimized by PSO,Medical imaging data,Not explicitly reported,Denoising; normalization,NSST + fuzzy fusion with PSO optimization,Fusion-based decision support,Fusion quality metrics (typical),Enhanced fused image quality reported,Moderate (fusion rules interpretable; PSO adds complexity),Benchmark evaluation,Parameter sensitivity,Real-time fusion and clinical evaluation,Supports improved imaging interpretation,Hybrid,Uncertainty in feature salience,,Hybrid,Quality vs computation,Real-time deployment gap
191,Jian Kang; Jixin Zhang; Jiancun Gao,2016,"Improving performance evaluation of health, safety and environment management system by combining fuzzy cognitive maps and relative degree analysis",Safety Science,Scopus; WoS,10.1016/j.ssci.2016.03.023,China,Health & safety management decision support,Occupational health / safety,Fuzzy Cognitive Map (FCM),Relative degree analysis,Evaluate and improve HSE management performance using causal fuzzy modeling,Organizational performance indicators,Not explicitly reported,Indicator normalization,FCM + relative degree analysis framework,Causal reasoning + scoring,Not explicitly reported,Demonstrates improved evaluation of HSE systems,High (FCM causal structure interpretable),Case study / empirical evaluation,Indicator subjectivity,Integrate with real-time monitoring,Supports safer healthcare facility operations,Classical,Causal uncertainty modeling,,Hybrid,Interpretability vs precision,Evidence integration gap
192,Jinxing Zhu; Xueling Ma; Jianming Zhan; Yiyu Yao,2022,A three-way multi-attribute decision making method based on regret theory and its application to medical data in fuzzy environments,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2022.108975,China,Clinical decision support (decision theory),General medical decision-making,Fuzzy sets (FL),MCDM; regret theory; three-way decisions,Develop three-way MADM with regret theory for medical decision problems,Medical decision data / expert inputs,Not explicitly reported,Criteria normalization,Three-way MADM framework under fuzzy environment,Three-way decision + ranking,Ranking stability,Provides structured accept/reject/defer decisions under uncertainty,High (explicit decision regions and criteria),Numerical experiments / case study,Input subjectivity,Real clinical validation,Supports cautious decision-making in medicine,Classical,Linguistic uncertainty,Central,Hybrid,Caution vs decisiveness,Clinical validation gap
193,M.G. Sharavana Kumar; V.R. Sarma Dhulipala,2020,Fuzzy allocation model for health care data management on IoT assisted wearable sensor platform,Measurement,Scopus; WoS,10.1016/j.measurement.2020.108249,India,IoT health data management,Wearable health monitoring,Fuzzy logic (FL),IoT / data allocation,Optimize allocation/management of healthcare data from wearable sensors,Wearable IoT sensor data,Not explicitly reported,Signal preprocessing,Fuzzy allocation model for data management,Allocation decision support,Throughput; latency (typical),Improves data handling efficiency for wearable platforms,Moderate (allocation rules interpretable),Simulation / experimental,Security and privacy concerns,Secure fuzzy allocation models,Supports reliable wearable health monitoring,Classical,Sensor/traffic uncertainty,,Hybrid,Efficiency vs privacy/security,Privacy/security integration gap
194,Ali Ala; Alireza Goli; Seyedali Mirjalili; Vladimir Simic,2024,A fuzzy multi-objective optimization model for sustainable healthcare supply chain network design,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2023.111012,Iran,Healthcare supply chain optimization,Hospital logistics,Fuzzy sets (FL),Multi-objective optimization,Design sustainable healthcare supply chain network under uncertainty,Supply chain / operational data,Not explicitly reported,Data normalization,Fuzzy multi-objective optimization framework,Optimization-based decision support,Cost; sustainability metrics,"Identifies trade-offs among cost, sustainability, and performance",Moderate (objective-level transparency),Computational experiments,Data demand and modeling complexity,Real-world deployment & sensitivity analysis,Improves resilient healthcare supply chains,Classical,Fuzzy parameter uncertainty,,Hybrid,Optimality vs complexity,Real-world deployment gap
195,Tao Peng,2024,Quantitative assessment of human motion for health and rehabilitation: A novel fuzzy comprehensive evaluation approach,Smart Learning Environments / SLAST,Scopus,10.1016/j.slast.2024.100181,China,Rehabilitation informatics,Physical rehabilitation,Fuzzy comprehensive evaluation,,Quantitatively assess human motion quality for rehabilitation,Motion capture / sensor data,Not explicitly reported,Signal normalization,Fuzzy comprehensive evaluation framework,Scoring-based assessment,Evaluation scores,Demonstrates effective motion assessment under uncertainty,High (rule-based scoring),Experimental validation,Limited clinical population diversity,Integration with real rehabilitation platforms,Supports objective rehab progress assessment,Classical,Linguistic & measurement uncertainty,,Standalone,Simplicity vs precision,Clinical validation gap
196,Miguel Alves Pereira; Ana Santos Camanho,2024,Healthcare Access and Quality Index revisited: A fuzzy data envelopment analysis approach,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2023.123057,Portugal (Europe),Health system performance evaluation,Public health,Fuzzy DEA,Efficiency analysis,Re-evaluate HAQ index using fuzzy DEA,Health system indicators,Not explicitly reported,Indicator normalization,Fuzzy DEA efficiency model,Efficiency-based ranking,Efficiency scores,Improves robustness of HAQ evaluation,Moderate (DEA score transparency),Empirical validation,Indicator availability,Policy-oriented extensions,Enhances health system benchmarking,Classical,Fuzzy efficiency uncertainty,Implicit,Hybrid,Robustness vs interpretability,Policy evaluation gap
197,Victoria Blanes-Vidal; Manuella Lech Cantuaria; Esmaeil S. Nadimi,2017,Exposure assessment in air pollution epidemiology using neuro-fuzzy inference systems,Environmental Research,Scopus; WoS,10.1016/j.envres.2016.12.028,Denmark,Environmental health informatics,Epidemiology,Neuro-fuzzy inference system,,Improve exposure estimation and exposure–health associations,Environmental sensor data,Not explicitly reported,Data normalization,Neuro-fuzzy exposure assessment model,Inference-based estimation,Correlation measures,Produces more reliable exposure estimates,Moderate (rule-based inference),Comparative empirical validation,Data heterogeneity,Integration with health outcome models,Supports improved epidemiological exposure modeling,Hybrid,Measurement uncertainty modeling,,Hybrid,Accuracy vs complexity,Exposure modeling gap
198,Hosein Arman et al.,2024,Optimal locating by integrating volumetric fuzzy sets and geographic coordinate system: Healthcare application,Computers & Operations Research,Scopus; WoS,10.1016/j.cor.2023.106377,Iran,Healthcare facility location planning,Health service planning,Volumetric fuzzy sets,Optimization,Optimize healthcare facility locations under spatial uncertainty,Geographic and demographic data,Not explicitly reported,Spatial normalization,Volumetric fuzzy location model,Optimization-based decision support,Cost/distance metrics,Improves location decisions under uncertainty,Moderate (spatial fuzzy modeling),Computational experiments,Data-intensive modeling,Real-world deployment,Supports equitable healthcare access planning,Higher-order,Spatial uncertainty,,Hybrid,Accuracy vs computational cost,Spatial planning gap
199,Jin Yin; Xunan Cao; Boyu Zhang; Mei Zeng,2022,A fuzzy trust measurement method considering patients' trust opinions in Internet plus Healthcare,Procedia Computer Science,Scopus,10.1016/j.procs.2022.09.407,China,eHealth trust management,Digital healthcare,Fuzzy trust modeling,,Measure patient trust in online healthcare platforms,Survey / opinion data,Not explicitly reported,Opinion normalization,Fuzzy trust evaluation framework,Trust-based scoring,Trust index values,Effectively captures patient trust uncertainty,High (transparent trust rules),Case study,Subjective bias,Dynamic trust modeling,Improves trust-aware eHealth systems,Classical,Opinion-based uncertainty,,Standalone,Interpretability vs subjectivity,Trust modeling gap
200,Abhishek Das; Saumendra Kumar Mohapatra; Mihir Narayan Mohanty,2022,Design of deep ensemble classifier with fuzzy decision method for biomedical image classification,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2021.108178,India,Biomedical image analysis,Radiology / Medical imaging,Fuzzy decision method (FL),Deep ensemble learning,Improve biomedical image classification accuracy using fuzzy decision fusion,Medical image datasets,Not explicitly reported,Image normalization; augmentation,Deep ensemble CNN with fuzzy decision fusion layer,Fuzzy decision-based classification,Accuracy; F1-score (typical),Achieves improved classification performance over single models,Moderate (decision fusion partially interpretable),Benchmark evaluation,High computational cost,Lightweight ensemble-fuzzy architectures,Enhances robustness of imaging diagnostics,Hybrid,Decision-level uncertainty fusion,,Hybrid,Accuracy vs computation,Efficiency gap
201,Zaoli Yang; Tingting Zhang; Harish Garg; K. Venkatachalam,2022,Multi-criteria framework for digitalization solutions under interval-valued T-spherical fuzzy information,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2022.109635,China,Digital health system decision support,Medical systems (IT),Interval-valued T-spherical fuzzy sets,MCDM,Evaluate and prioritize digitalization solutions for medical systems,Expert judgment,Not explicitly reported,Criteria normalization,Interval T-spherical fuzzy MCDM framework,Multi-criteria ranking,Ranking robustness,Effectively prioritizes digital solutions under high uncertainty,High (criteria-based transparency),Case study,Subjectivity of expert inputs,Data-driven digital maturity metrics,Supports digital transformation in healthcare,Higher-order,Extended membership uncertainty,Central,Hybrid,Robustness vs complexity,Digital transformation gap
202,S. Rodriguez-Flores; C. Muñoz-Robles; J.A. Quevedo Tiznado; P. Julio-Miranda,2025,"Assessment of watershed health using environmental, social, and climate criteria in a fuzzy framework",Science of the Total Environment,Scopus; WoS,10.1016/j.scitotenv.2024.178316,Chile,Environmental health assessment,Public / environmental health,Fuzzy logic (FL),Multi-criteria assessment,Integrate multi-domain criteria to assess watershed health,Environmental & social indicators,Not explicitly reported,Indicator normalization,Fuzzy logic-based evaluation framework,Scoring and ranking,Composite health indices,Produces holistic watershed health scores,High (transparent criteria aggregation),Case study,Data heterogeneity,Integrate health outcome data,Supports environmental determinants of health analysis,Classical,Multi-source uncertainty,Implicit,Hybrid,Coverage vs precision,Cross-domain integration gap
203,Manindra Rajak; Krishnendu Shaw,2019,Evaluation and selection of mHealth applications using AHP and fuzzy TOPSIS,Technology in Society,Scopus; WoS,10.1016/j.techsoc.2019.101186,India,mHealth application evaluation,Digital health,Fuzzy sets (FL),AHP; fuzzy TOPSIS,Evaluate and rank mobile health applications,Expert/user evaluation,Not explicitly reported,Criteria normalization,AHP weighting + fuzzy TOPSIS ranking,Multi-criteria ranking,Ranking stability,Identifies optimal mHealth apps under uncertainty,High (clear criteria and weights),Case study,Subjectivity of judgments,Incorporate real user outcomes,Supports evidence-based mHealth adoption,Classical,Linguistic preference uncertainty,Central,Hybrid,Interpretability vs subjectivity,App evaluation gap
204,Xinpeng Zhao; Weihua Xu,2024,NFMPAtt-Unet: Neighborhood Fuzzy C-means Multi-scale Pyramid Hybrid Attention Unet for medical image segmentation,Neural Networks,Scopus; WoS,10.1016/j.neunet.2024.106489,China,Medical image segmentation,Radiology / Imaging,Fuzzy C-means (FL),DL (Attention U-Net),Improve segmentation accuracy via fuzzy clustering + attention mechanisms,Medical imaging datasets,Not explicitly reported,Normalization; augmentation,FCM-guided multi-scale attention U-Net,Segmentation-based decision support,Dice; IoU (typical),Achieves superior segmentation accuracy and boundary precision,Moderate (fuzzy clustering aids uncertainty reasoning),Benchmark evaluation,Model complexity,Efficient clinical deployment,Enhances precision imaging diagnostics,Hybrid,Boundary and region uncertainty,,Hybrid,Accuracy vs computational cost,Deployment efficiency gap
205,Yaser Donyatalab; Fatma Kutlu Gündo?du; Fariba Farid; Seyed Amin Seyfi-Shishavan; Elmira Farrokhizadeh; Cengiz Kahraman,2022,Novel spherical fuzzy distance and similarity measures and their applications to medical diagnosis,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2021.116330,Turkey,Clinical decision support,Medical diagnosis (general),Spherical Fuzzy Sets,Distance & similarity analysis,Develop new spherical fuzzy distance/similarity measures for diagnosis,Medical decision datasets,Not explicitly reported,Normalization,Spherical fuzzy distance-based diagnostic model,Similarity-based diagnosis,Classification accuracy,Improved diagnostic discrimination under uncertainty,High (explicit mathematical measures),Numerical experiments,Limited clinical datasets,Clinical validation studies,Enhances fuzzy-based diagnostic reasoning,Higher-order,Multi-degree membership uncertainty,,Standalone,Precision vs model complexity,Clinical validation gap
206,Josh Goldschmid; Vinayaka Gude; Steven Corns,2021,SoS Explorer application with fuzzy-genetic algorithms to assess enterprise architecture – healthcare case,Procedia Computer Science,Scopus,10.1016/j.procs.2021.05.006,United States,Health IT / enterprise architecture,Healthcare systems,Fuzzy logic (FL),Genetic algorithms,Assess healthcare enterprise architecture using fuzzy-GA framework,System architecture metrics,Not explicitly reported,Metric normalization,Fuzzy-GA assessment framework,Scoring-based evaluation,Fitness scores,Effectively evaluates architectural robustness,Moderate (rules interpretable; GA adds complexity),Case study,Limited scalability,Large-scale health IT validation,Supports strategic health IT planning,Classical,Linguistic uncertainty,,Hybrid,Flexibility vs computation,Enterprise IT gap
207,M. Baroudi; S. Maluka; P. Kamuzora; M. San Sebastián; A.N. Kapologwe; A.K. Hurtig,2025,Using fuzzy-set qualitative comparative analysis to identify conditions for good performance in Tanzania’s health system,Social Science & Medicine – Health Systems,Scopus,10.1016/j.ssmhs.2025.100065,Tanzania,Health systems performance,Public health,Fuzzy-set QCA (fsQCA),Comparative analysis,Identify causal configurations for good health system performance,Policy & system indicators,Not explicitly reported,Calibration,fsQCA causal model,Configuration-based inference,Consistency; coverage,Identifies multiple causal pathways to performance,High (explicit causal logic),Comparative case analysis,Context dependence,Cross-country fsQCA,Improves health system governance insights,Classical,Set-membership uncertainty,Implicit,Standalone,Generalizability vs depth,Comparative evidence gap
208,Ghada E. Mostafa; Salah Boulaaras; Rashid Jan,2024,Novel picture fuzzy distance measure and its application in medical diagnosis,Partial Differential Equations in Applied Mathematics,Scopus,10.1016/j.padiff.2024.100679,Egypt,Clinical decision support,Medical diagnosis,Picture Fuzzy Sets,Distance measures,Propose new picture fuzzy distance for diagnosis,Medical diagnostic data,Not explicitly reported,Normalization,Picture fuzzy distance-based diagnostic model,Similarity-based diagnosis,Diagnostic accuracy,Enhances discrimination among diagnostic alternatives,High (explicit distance formulation),Numerical experiments,Limited real clinical cases,Clinical dataset validation,Advances picture fuzzy diagnosis methods,Higher-order,Positive/neutral/negative uncertainty,,Standalone,Accuracy vs data availability,Clinical evidence gap
209,Abbas Mardani et al.,2019,Decision making and fuzzy sets theory in healthcare: A review of three decades,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2019.07.002,Iran,Healthcare decision support (review),Multiple specialties,Multiple fuzzy types,MCDM; optimization,Review 30 years of fuzzy decision-making in healthcare,Literature (review),Not applicable,Not applicable,Conceptual synthesis,Taxonomy-based analysis,Not applicable,Provides comprehensive taxonomy and trends,High (conceptual clarity),Systematic review,No empirical validation,Emerging hybrid & explainable models,Foundational reference for fuzzy healthcare research,Hybrid,Conceptual uncertainty,Central,Hybrid,Breadth vs depth,Synthesis gap
210,Zejin Sun; Youren Wang; Lujin Zhang,2023,Rotating machinery health state assessment under multi-working conditions based on a deep fuzzy clustering network,Measurement,Scopus; WoS,10.1016/j.measurement.2023.113172,China,Health state assessment (method transferable),Not medical (machinery health),Fuzzy clustering (FL),Deep learning,Assess machinery health under varying operating conditions,Sensor vibration data,Not explicitly reported,Signal denoising; normalization,Deep fuzzy clustering network,Health-state classification,Accuracy; clustering validity indices,Demonstrates robust health-state discrimination under multi-conditions,Moderate (cluster-based reasoning),Experimental validation,Not a direct healthcare application,Adaptation to biomedical equipment,Method transferable to medical device monitoring,Hybrid,Measurement and operational uncertainty,,Hybrid,Robustness vs computational cost,Domain transfer gap
211,Qiao Lin; Xin Chen; Chao Chen; Jonathan M. Garibaldi,2024,Boundary-wise loss for medical image segmentation based on fuzzy rough sets,Information Sciences,Scopus; WoS,10.1016/j.ins.2024.120183,United Kingdom,Medical image segmentation,Radiology / Imaging,Fuzzy rough sets,Deep learning (loss design),Improve boundary accuracy in medical image segmentation,Medical imaging datasets,Not explicitly reported,Normalization; augmentation,DL segmentation model with fuzzy-rough boundary loss,Segmentation decision support,Dice; boundary accuracy,Improves boundary delineation vs standard losses,Moderate (loss function interpretable),Benchmark evaluation,Computational overhead,Lightweight fuzzy-rough losses,Enhances precision imaging diagnostics,Hybrid,Rough boundary uncertainty,,Hybrid,Accuracy vs training cost,Boundary accuracy gap
212,Tobias Müller; Mujaheed Shaikh,2018,Retirement externalities and health behavior: Evidence from a fuzzy regression discontinuity design,Journal of Health Economics,Scopus; WoS,10.1016/j.jhealeco.2017.10.005,Germany,Health economics analytics,Population health,Fuzzy regression discontinuity,Econometric modeling,Study impact of retirement on health behaviors,Longitudinal survey data,Not explicitly reported,Data cleaning,Fuzzy regression discontinuity model,Causal inference,Effect size estimates,Identifies spillover effects of retirement on health behavior,Moderate (econometric interpretability),Empirical validation,Assumptions of RD design,Multi-country replication,Advances causal health economics methods,Classical,Assignment uncertainty,,Standalone,Causal rigor vs data demands,Causal inference gap
213,Xiaofeng Lu,2023,Implementation of art therapy assisted by the Internet of Medical Things based on blockchain and fuzzy set theory,Information Sciences,Scopus; WoS,10.1016/j.ins.2023.03.044,China,Digital therapeutics,Mental health / art therapy,Fuzzy sets (FL),IoMT; blockchain,Support art therapy delivery using IoMT with fuzzy decision logic,Therapy interaction data,Not explicitly reported,Data normalization,IoMT platform with fuzzy decision layer and blockchain,Therapy support decision logic,System performance indicators,Demonstrates feasibility of secure fuzzy-assisted digital therapy,Moderate (rules interpretable; system complex),Prototype / case evaluation,Scalability and user acceptance,Clinical trials and usability studies,Supports secure digital mental health interventions,Hybrid,Behavioral uncertainty,,Hybrid,Security vs usability,Digital therapy adoption gap
214,Lauri Kokkinen,2022,Studying social determinants of health using fuzzy-set Qualitative Comparative Analysis: A worked example,Social Science & Medicine,Scopus; WoS,10.1016/j.socscimed.2022.115241,Finland,Population health analytics,Social determinants of health,fsQCA,Comparative analysis,Demonstrate how fsQCA can analyze social determinants of health,Survey / social indicators,Not explicitly reported,Calibration,fsQCA worked example framework,Configuration-based inference,Consistency; coverage,Shows how different condition combinations relate to health outcomes,High (explicit causal configurations),Worked example / methodological validation,Context dependence; calibration sensitivity,Multi-setting fsQCA replications,Improves methods for SDoH analysis,Classical,Set-membership uncertainty,Implicit,Standalone,Interpretability vs generalizability,Method adoption gap
215,Weiping Ding; Javier Andreu Perez; Yiu-ming Cheung; Swagatam Das; Xiaodong Yue; Dariusz Mrozek,2023,Special issue on fuzzy systems for biomedical science in healthcare,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2022.109834,China,Editorial / research synthesis,Multiple specialties,Multiple fuzzy types,Multiple,Introduce and contextualize special issue contributions,Editorial,Not applicable,Not applicable,Editorial overview,Not applicable,Not applicable,Highlights research directions in fuzzy biomedical systems,High (conceptual overview),Editorial,Not an empirical study,Future special issue themes,Guides research agenda in health fuzzy systems,Hybrid,Conceptual uncertainty handling,,Standalone,Breadth vs depth,Synthesis gap
216,Miguel Malek Maalouf; Imranul Hoque,2022,Applying fsQCA to identify pathways for improving occupational health and safety performance,Safety Science,Scopus; WoS,10.1016/j.ssci.2022.105903,Lebanon,Occupational health analytics,Occupational health & safety,fsQCA,Comparative analysis,Identify causal pathways to improved OHS performance,Organizational indicators,Not explicitly reported,Calibration,fsQCA configuration model,Configuration-based inference,Consistency; coverage,Identifies multiple improvement pathways (equifinality),High (transparent causal logic),Comparative case analysis,Data calibration sensitivity,Cross-sector validation,Supports evidence-based OHS improvement,Classical,Set-membership uncertainty,Implicit,Standalone,Causal clarity vs transferability,Implementation gap
217,Yunyun Yang; Ruofan Wang; Chong Feng,2020,Level set formulation for automatic medical image segmentation based on fuzzy clustering,Image and Vision Computing / Image (as listed),Scopus; WoS,10.1016/j.image.2020.115907,China,Medical image segmentation,Radiology / Imaging,Fuzzy clustering (FCM),Level set methods,Improve automatic segmentation using fuzzy clustering guided level sets,Medical imaging datasets,Not explicitly reported,Denoising; normalization,FCM-guided level set segmentation model,Segmentation decision support,Dice; accuracy (typical),Improves segmentation stability and boundary detection,Moderate (method-level interpretability),Benchmark evaluation,Parameter sensitivity,Automated parameter selection,Supports more reliable image segmentation,Hybrid,Boundary uncertainty,,Hybrid,Accuracy vs tuning effort,Automation gap
218,Ali Ala; Vladimir Simic; Dragan Pamucar; Erfan Babaee Tirkolaee,2022,Appointment scheduling under fairness policy in healthcare services: Fuzzy Ant Lion Optimizer,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2022.117949,Iran,Healthcare operations optimization,Outpatient services,Fuzzy logic (FL),Metaheuristic optimization (Ant Lion),Optimize appointment scheduling under uncertainty with fairness constraints,Scheduling/operational data,Not explicitly reported,Data normalization,Fuzzy Ant Lion Optimizer scheduling model,Optimization-based scheduling decisions,Waiting time; fairness indices,Reduces waiting and improves fairness under uncertainty,Moderate (objective-based transparency),Computational experiments,Real-world constraints not fully modeled,Hospital deployment and evaluation,Improves efficient and fair patient scheduling,Hybrid,Demand/arrival uncertainty,,Hybrid,Optimality vs complexity,Real-world deployment gap
219,Guolin Tang; Yongxuan Yang; Xiaowei Gu; Francisco Chiclana; Peide Liu; Fubin Wang,2022,Integrated multi-attribute decision-making for mobile medical app evaluation under q-rung orthopair fuzzy environment,Expert Systems with Applications,Scopus; WoS,10.1016/j.eswa.2022.117034,China,mHealth app evaluation,Digital health,q-rung Orthopair Fuzzy Sets,MCDM,Evaluate and rank mobile medical applications under uncertainty,Expert judgments; app criteria,Not explicitly reported,Criteria normalization,q-rung orthopair fuzzy MCDM framework,Multi-criteria ranking,Ranking robustness,Provides stable rankings considering higher-order uncertainty,High (transparent criteria & weights),Case study validation,Expert subjectivity,Include real user outcomes,Improves evidence-based mHealth selection,Orthopair,Extended membership/non-membership,Central,Hybrid,Robustness vs complexity,App evaluation methodology gap
220,Toni Lupo,2016,A fuzzy framework to evaluate service quality in the healthcare industry: Public hospital case in Sicily,Applied Soft Computing,Scopus; WoS,10.1016/j.asoc.2015.12.010,Italy,Healthcare service quality,Hospital services,Fuzzy Sets (FL),,Evaluate public hospital service quality using fuzzy framework,Patient surveys; service indicators,Not explicitly reported,Normalization,Fuzzy service quality evaluation model,Scoring and ranking,Service quality indices,Identifies service gaps and priorities,High (linguistic rules & indicators),Empirical case study,Local context specificity,Multi-hospital comparisons,Supports hospital quality improvement,Classical,Linguistic vagueness,Implicit,Standalone,Simplicity vs generalizability,Cross-setting validation gap
221,Saleh Shahbeig; Akbar Rahideh; Mohammad Sadegh Helfroush; Kamran Kazemi,2018,Gene selection from large-scale gene expression data using fuzzy interactive multi-objective optimization,Biocybernetics and Biomedical Engineering,Scopus; WoS,10.1016/j.bbe.2018.02.002,Iran,Bioinformatics decision support,Genomics,Fuzzy multi-objective optimization,Evolutionary optimization,Select informative genes for medical diagnosis,Gene expression datasets,Not explicitly reported,Normalization; filtering,Fuzzy interactive multi-objective optimizer,Feature selection decision,Classification accuracy (typical),Reduces dimensionality while preserving diagnostic power,Moderate (objective trade-offs interpretable),Benchmark validation,Overfitting risk,External clinical validation,Improves genomic diagnostic modeling,Hybrid,Objective trade-off uncertainty,,Hybrid,Accuracy vs dimensionality,Clinical translation gap
222,Shadi AlZu’bi; Mohammed Shehab; Mahmoud Al-Ayyoub; Yaser Jararweh; Brij Gupta,2020,Parallel implementation for 3D medical volume fuzzy segmentation,Pattern Recognition Letters,Scopus; WoS,10.1016/j.patrec.2018.07.026,Jordan,Medical image segmentation,Radiology / Imaging,Fuzzy segmentation (FL),Parallel computing,Accelerate 3D fuzzy segmentation of medical volumes,3D medical images,Not explicitly reported,Normalization,Parallel fuzzy segmentation architecture,Segmentation decision support,Runtime; segmentation accuracy,Achieves faster segmentation with comparable accuracy,Moderate (method interpretable; parallelism adds complexity),Experimental evaluation,Hardware dependence,GPU/clinical deployment,Enables efficient large-volume image analysis,Classical,Boundary/region uncertainty,,Hybrid,Speed vs resource cost,Scalability gap
223,Weiwei Cai; Bo Zhai; Yun Liu; Runmin Liu; Xin Ning,2021,Quadratic polynomial guided fuzzy C-means and dual attention for medical image segmentation,Displays,Scopus; WoS,10.1016/j.displa.2021.102106,China,Medical image segmentation,Radiology / Imaging,Fuzzy C-means (FL),Dual attention (DL),Improve segmentation accuracy using guided FCM with attention,Medical imaging datasets,Not explicitly reported,Normalization; enhancement,Guided FCM + dual-attention segmentation model,Segmentation-based decision support,Dice; accuracy,Improves boundary precision and region consistency,Moderate (FCM interpretable; attention complex),Benchmark evaluation,Model complexity,Lightweight attention mechanisms,Enhances segmentation quality,Hybrid,Boundary uncertainty,,Hybrid,Accuracy vs complexity,Efficiency gap
