Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)",Domains,"Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)","Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Summary of the study,Results based on Evaluation metrics,Key Results / Findings,Challenges / Limitations,Future Research Directions,Identified Research Gap Type
113,Jinxing Zhu; Xueling Ma; Jianming Zhan; Yiyu Yao,2022,A three-way multi-attribute decision making method based on regret theory and its application to medical data in fuzzy environments,Applied Soft Computing,Scopus,10.1016/j.asoc.2022.108975,China,Medical Data-General medical decision-making,General Health,Fuzzy sets (FL),MCDM; regret theory; three-way decisions,Comparative analysis,This study proposes a regret-theory-based fuzzy decision-making model applied to heart disease diagnosis.,Qualitative: superior and stable performance,Provides structured accept/reject/defer decisions under uncertainty,Input subjectivity,Real clinical validation,Clinical validation gap
114,M.G. Sharavana Kumar; V.R. Sarma Dhulipala,2020,Fuzzy allocation model for health care data management on IoT assisted wearable sensor platform,Measurement,Scopus,10.1016/j.measurement.2020.108249,India,Wearable health monitoring,General Health,Fuzzy logic (FL),IoT / data allocation,Network performance,This study proposes a fuzzy-based allocation algorithm for IoT wearable healthcare systems improving data routing and latency.,Qualitative: reduced latency and improved efficiency,Improves data handling efficiency for wearable platforms,Security and privacy concerns,Secure fuzzy allocation models,Privacy/security integration gap
115,Tao Peng,2024,Quantitative assessment of human motion for health and rehabilitation: A novel fuzzy comprehensive evaluation approach,Smart Learning Environments / SLAST,Scopus,10.1016/j.slast.2024.100181,China,Physical rehabilitation,Physical Health,Fuzzy comprehensive evaluation,,Accuracy,This study proposes a fuzzy-based motion recognition system for health monitoring and rehabilitation using multi-sensor data.,Accuracy = 90.03%; fine motion detection = 97%,Demonstrates effective motion assessment under uncertainty,Limited clinical population diversity,Integration with real rehabilitation platforms,Clinical validation gap
116,Victoria Blanes-Vidal; Manuella Lech Cantuaria; Esmaeil S. Nadimi,2017,Exposure assessment in air pollution epidemiology using neuro-fuzzy inference systems,Environmental Research,Scopus,10.1016/j.envres.2016.12.028,Denmark,Epidemiology,General Health,Neuro-fuzzy inference system,,RMSE; Correlation coefficient,This study proposes a neuro-fuzzy inference system for estimating air pollution exposure and analyzing health effects in epidemiological studies.,RMSE = 0.275; r = 0.91,Produces more reliable exposure estimates,Data heterogeneity,Integration with health outcome models,Exposure modeling gap
117,Abhishek Das; Saumendra Kumar Mohapatra; Mihir Narayan Mohanty,2022,Design of deep ensemble classifier with fuzzy decision method for biomedical image classification,Applied Soft Computing,Scopus,10.1016/j.asoc.2021.108178,India,Radiology / Medical imaging,General Health,Fuzzy decision method (FL),Deep ensemble learning,Accuracy; Precision; Recall; Sensitivity; Specificity; F1-score,"This study proposes a deep ensemble learning framework combining CNN, RNN, LSTM, and GRU with a fuzzy minâ€“max classifier for biomedical image classification including brain MRI and COVID-19 X-rays. It improves diagnostic performance using ensemble learning and fuzzy uncertainty handling.","Training accuracy: 100%; Validation: 97.62% (MRI), 95.24% (X-ray)",Achieves improved classification performance over single models,High computational cost,Lightweight ensemble-fuzzy architectures,Efficiency gap
118,Xinpeng Zhao; Weihua Xu,2024,NFMPAtt-Unet: Neighborhood Fuzzy C-means Multi-scale Pyramid Hybrid Attention Unet for medical image segmentation,Neural Networks,Scopus,10.1016/j.neunet.2024.106489,China,Radiology / Imaging,General Health,Fuzzy C-means (FL),DL (Attention U-Net),Dice coefficient; segmentation accuracy; comparative analysis,This study proposes a hybrid deep learning model integrating neighborhood fuzzy C-means clustering with a multi-scale pyramid and attention-based U-Net architecture for medical image segmentation. It improves boundary precision and feature extraction under uncertainty.,Qualitative: superior performance vs baseline U-Net,Achieves superior segmentation accuracy and boundary precision,Model complexity,Efficient clinical deployment,Deployment efficiency gap
119,Yaser Donyatalab; Fatma Kutlu Gündo?du; Fariba Farid; Seyed Amin Seyfi-Shishavan; Elmira Farrokhizadeh; Cengiz Kahraman,2022,Novel spherical fuzzy distance and similarity measures and their applications to medical diagnosis,Expert Systems with Applications,Scopus,10.1016/j.eswa.2021.116330,Turkey,Medical diagnosis (general),General Health,Spherical Fuzzy Sets,Distance & similarity analysis,Comparative analysis,This study introduces spherical fuzzy distance and similarity measures to better handle uncertainty in medical diagnosis and decision-making.,Qualitative: improved reliability vs existing methods,Improved diagnostic discrimination under uncertainty,Limited clinical datasets,Clinical validation studies,Clinical validation gap
120,Ghada E. Mostafa; Salah Boulaaras; Rashid Jan,2024,Novel picture fuzzy distance measure and its application in medical diagnosis,Partial Differential Equations in Applied Mathematics,Scopus,10.1016/j.padiff.2024.100679,Egypt,Medical diagnosis,General Health,Picture Fuzzy Sets,Distance measures,Comparative analysis,This study proposes a new picture fuzzy distance measure improving similarity evaluation in medical diagnosis.,Qualitative: better diagnostic effectiveness,Enhances discrimination among diagnostic alternatives,Limited real clinical cases,Clinical dataset validation,Clinical evidence gap
121,Qiao Lin; Xin Chen; Chao Chen; Jonathan M. Garibaldi,2024,Boundary-wise loss for medical image segmentation based on fuzzy rough sets,Information Sciences,Scopus,10.1016/j.ins.2024.120183,United Kingdom,Radiology / Imaging,,Fuzzy rough sets,Deep learning (loss design),Dice coefficient; Hausdorff distance; pixel accuracy,This study proposes a fuzzy rough set-based boundary loss function for deep learning segmentation improving boundary accuracy.,Qualitative: improved boundary precision,Improves boundary delineation vs standard losses,Computational overhead,Lightweight fuzzy-rough losses,Boundary accuracy gap
122,Xiaofeng Lu,2023,Implementation of art therapy assisted by the Internet of Medical Things based on blockchain and fuzzy set theory,Information Sciences,Scopus,10.1016/j.ins.2023.03.044,China,Mental health / art therapy,Mental Health,Fuzzy sets (FL),IoMT; blockchain,Accuracy; detection performance,This study proposes a secure IoMT framework using blockchain and fuzzy models for healthcare applications.,Accuracy: up to 99.8% (normal detection),Demonstrates feasibility of secure fuzzy-assisted digital therapy,Scalability and user acceptance,Clinical trials and usability studies,Digital therapy adoption gap
123,Miguel Malek Maalouf; Imranul Hoque,2022,Applying fsQCA to identify pathways for improving occupational health and safety performance,Safety Science,Scopus,10.1016/j.ssci.2022.105903,Lebanon,Occupational health & safety,Occupational Health,fsQCA,Comparative analysis,Comparative analysis,This study uses fuzzy set qualitative comparative analysis to identify factors improving occupational health and safety performance.,Qualitative: two key pathways identified,Identifies multiple improvement pathways (equifinality),Data calibration sensitivity,Cross-sector validation,Implementation gap
124,Yunyun Yang; Ruofan Wang; Chong Feng,2020,Level set formulation for automatic medical image segmentation based on fuzzy clustering,Image and Vision Computing / Image (as listed),Scopus,10.1016/j.image.2020.115907,China,Radiology / Imaging,General Health,Fuzzy clustering (FCM),Level set methods,Segmentation accuracy,This study proposes a level set segmentation method integrated with fuzzy clustering for improved automatic segmentation.,Qualitative: improved robustness and automation,Improves segmentation stability and boundary detection,Parameter sensitivity,Automated parameter selection,Automation gap
125,Saleh Shahbeig; Akbar Rahideh; Mohammad Sadegh Helfroush; Kamran Kazemi,2018,Gene selection from large-scale gene expression data using fuzzy interactive multi-objective optimization,Biocybernetics and Biomedical Engineering,Scopus,10.1016/j.bbe.2018.02.002,Iran,Genomics,General Health,Fuzzy multi-objective optimization,Evolutionary optimization,Accuracy; Sensitivity; Specificity,This study proposes a fuzzy multi-objective optimization method for selecting key genes from large datasets for disease diagnosis.,Quantitative: up to 100% accuracy on multiple datasets,Reduces dimensionality while preserving diagnostic power,Overfitting risk,External clinical validation,Clinical translation gap
126,Shadi AlZu’bi; Mohammed Shehab; Mahmoud Al-Ayyoub; Yaser Jararweh; Brij Gupta,2020,Parallel implementation for 3D medical volume fuzzy segmentation,Pattern Recognition Letters,Scopus,10.1016/j.patrec.2018.07.026,Jordan,Radiology / Imaging,General Health,Fuzzy segmentation (FL),Parallel computing,Segmentation accuracy; processing time,This study proposes a GPU-based parallel fuzzy C-means method for 3D medical image segmentation improving computational efficiency and scalability.,Quantitative: ~5 faster than sequential implementation,Achieves faster segmentation with comparable accuracy,Hardware dependence,GPU/clinical deployment,Scalability gap
127,Weiwei Cai; Bo Zhai; Yun Liu; Runmin Liu; Xin Ning,2021,Quadratic polynomial guided fuzzy C-means and dual attention for medical image segmentation,Displays,Scopus,10.1016/j.displa.2021.102106,China,Radiology / Imaging,General Health,Fuzzy C-means (FL),Dual attention (DL),Segmentation accuracy; comparative analysis,This study proposes a hybrid deep learning and fuzzy clustering model combining quadratic polynomial guided fuzzy C-means with a dual attention mechanism for medical image segmentation. It improves feature extraction and segmentation accuracy in noisy medical images.,Qualitative: superior to state-of-the-art methods,Improves boundary precision and region consistency,Model complexity,Lightweight attention mechanisms,Efficiency gap
128,Piotr Lasek; Wojciech Rz?sa; Anna Król,2024,Employing Aggregations of Fuzzy Equivalences in Clustering and Visualization of Medical Data Sets,Procedia Computer Science,Scopus,10.1016/j.procs.2024.09.398,Poland,General medical data,General Health,Fuzzy equivalence relations,Clustering; visualization,Silhouette coefficient,"This study investigates clustering and visualization of medical datasets using fuzzy equivalence relations and aggregation techniques. The approach replaces traditional distance measures with fuzzy similarity measures to improve clustering performance. It evaluates clustering quality using metrics such as silhouette coefficient and provides visualization tools for interpreting results. In healthcare, the method supports better analysis of medical data, enabling identification of patterns and relationships among patient groups. It enhances decision-making by providing more flexible and interpretable clustering outcomes for clinical and research applications.",Qualitative: improved clustering,Produces clearer clusters and visual separation,Scalability on large datasets,Interactive clinical visualization,Visualization scalability gap
129,Katarzyna Poczeta; ?ukasz Kubu?; Alexander Yastrebov,2020,Multidimensional medical data modeling based on fuzzy cognitive maps and k-means clustering,Procedia Computer Science,Scopus,10.1016/j.procs.2020.08.013,Poland,General clinical data,General Health,Fuzzy Cognitive Maps (FCM),k-means clustering,Prediction accuracy,"This study proposes a modeling framework for multidimensional medical data using fuzzy cognitive maps combined with k-means clustering. The approach groups patient data into clusters and builds separate models for each group to improve prediction accuracy. It captures causal relationships among variables and supports dynamic system modeling. In healthcare, the method enhances disease prediction and decision-making by providing better representation of complex medical data. It improves forecasting accuracy and supports clinical decision support systems by modeling interactions between different medical factors.",Qualitative: improved forecasting,Captures causal relations among medical variables,Parameter sensitivity,Real clinical dataset validation,Clinical validation gap
130,Marian B. Gorza?czany; Filip Rudzi?ski,2017,Interpretable and accurate medical data classification – multi-objective genetic-fuzzy optimization,Expert Systems with Applications,Scopus,10.1016/j.eswa.2016.11.017,Poland,General medical diagnosis,General Health,Fuzzy rule-based systems,Genetic algorithms; multi-objective optimization,Accuracy; Sensitivity; Specificity,"This study proposes a multi-objective genetic-fuzzy optimization approach for designing interpretable and accurate medical classification systems. It generates fuzzy rule-based models that balance predictive accuracy and interpretability using evolutionary algorithms. The framework evaluates multiple solutions and selects optimal trade-offs. In healthcare, the approach enhances clinical decision support systems by providing transparent and explainable predictions, allowing clinicians to understand reasoning behind decisions. It improves diagnostic reliability while maintaining simplicity in model structure, making it suitable for real-world medical applications where interpretability is essential.",Qualitative: high interpretability,Achieves good accuracy with interpretable rules,Computational cost,Clinical-scale optimization,Explainable AI trade-off gap
131,Albion Dervishi,2017,Fuzzy risk stratification and risk assessment model for clinical monitoring in the ICU,Computers in Biology and Medicine,Scopus,10.1016/j.compbiomed.2017.05.034,Kosovo,Critical care,General Health,Fuzzy risk models (FL),,ROC-AUC; Sensitivity; Specificity; Accuracy,"This study presents a fuzzy-based risk stratification model for monitoring patients in intensive care units using physiological data. It combines fuzzy clustering, support vector machines, and random forests to classify patients into stable or deteriorating conditions. The model processes vital signals and predicts health deterioration in advance. In healthcare, it supports early detection of critical conditions, reduces mortality risk, and improves patient management in ICU settings. The system provides accurate and timely risk predictions, assisting clinicians in making proactive treatment decisions and optimizing resource allocation.",AUC=93.2%; Accuracy -100%,Improves early risk detection in ICU,Limited patient diversity,Large-scale ICU trials,Clinical scalability gap
132,Agung Triayudi; Dayan Hisni; Ratih Titi Komala Sari,2025,Adaptive multi-source fuzzy co-clustering and knowledge distillation for predicting thyroid cancer recurrence,Informatics in Medicine Unlocked,Scopus,10.1016/j.imu.2025.101715,Indonesia,Oncology (Thyroid cancer),Cancer and Neoplasms,Fuzzy co-clustering (FL),Knowledge distillation; multi-source learning,ROC-AUC; Accuracy; Precision; Recall; F1,"This study proposes an adaptive multi-source fuzzy co-clustering and knowledge distillation framework for predicting thyroid cancer recurrence. The model integrates heterogeneous clinical data and applies fuzzy clustering to identify patterns while improving interpretability. It combines clustering with machine learning classifiers to enhance predictive performance. In healthcare, the approach supports personalized treatment planning by identifying patients at high risk of recurrence, enabling early intervention and better monitoring strategies. It also improves clinical decision support systems by providing accurate and explainable predictions based on complex medical data.",AUC=0.963; Accuracy=0.948,Improves recurrence prediction with better deployability,Data heterogeneity; external validity,Multi-center clinical validation,External validation gap
133,Shouvik Chakraborty; Kalyani Mali,2022,Biomedical image segmentation using fuzzy multilevel soft thresholding with modified cuckoo search,Biomedical Signal Processing and Control,Scopus,10.1016/j.bspc.2021.103324,India,Radiology / Imaging,General Health,Fuzzy multilevel thresholding (FL),Metaheuristic optimization (modified cuckoo search),MSE; PSNR; SSIM; Mean; SD; Running time,"This study proposes a hybrid biomedical image segmentation framework that combines fuzzy multilevel soft thresholding with a modified cuckoo search optimization algorithm. The method determines optimal threshold values using entropy-based objective functions to enhance segmentation quality. It addresses challenges such as noise, weak edges, and overlapping regions in medical images. The model is evaluated on multiple biomedical datasets using both qualitative and quantitative approaches. In healthcare, the approach supports computer-aided diagnosis by improving region-of-interest extraction, enabling more precise detection of abnormalities, reducing diagnostic errors, and assisting clinicians in making faster and more reliable decisions.",SSIM - 0.8076; outperforms benchmarks,Improves segmentation quality vs baselines,Parameter sensitivity; compute cost,Real-time optimization strategies,Real-time deployment gap
134,Amir Mohammad Fathollahi-Fard; Abbas Ahmadi; Fariba Goodarzian; Naoufel Cheikhrouhou,2020,Bi-objective home healthcare routing and scheduling considering patients’ satisfaction in a fuzzy environment,Applied Soft Computing,Scopus,10.1016/j.asoc.2020.106385,Iran,Home care services,General Health,Fuzzy sets (FL),Bi-objective optimization,Multi-objective metrics,"This study develops a bi-objective optimization model for home healthcare routing and scheduling under uncertainty using fuzzy logic. The model simultaneously minimizes operational costs and maximizes patient satisfaction by considering uncertain travel times, service durations, and patient preferences. It integrates multi-depot and multi-period planning and uses metaheuristic algorithms for optimization. In healthcare, the approach improves the efficiency of home care services, enhances quality of care delivery, reduces delays, and supports better allocation of healthcare resources, particularly for elderly patients requiring continuous monitoring and personalized treatment at home.",Qualitative: improved outcomes,Finds trade-offs between efficiency and satisfaction,Real-world constraints and data availability,Hospital/agency deployment studies,Real-world implementation gap
135,Yu-Feng Yu; Guojin Zhong; Yi Zhou; Long Chen,2023,FS-GAN: Fuzzy self-guided structure retention GAN for medical image enhancement,Information Sciences,Scopus,10.1016/j.ins.2023.119114,China,Radiology / Imaging,General Health,Fuzzy self-guidance (FL),GAN (DL),Image quality metrics,"This study introduces a fuzzy self-guided structure retention generative adversarial network for enhancing medical images without requiring paired datasets. The model incorporates a fuzzy discriminator to better distinguish between real and generated images and includes modules for preserving structural details and correcting illumination. It enhances image quality by improving contrast, brightness, and texture representation. In healthcare, the approach supports more accurate clinical diagnosis by producing clearer medical images, aiding detection of subtle abnormalities, and improving downstream tasks such as segmentation and classification in various medical imaging applications.",Qualitative: superior image enhancement,Improves image quality while preserving anatomical structure,Training instability; compute cost,Clinically validated enhancement pipelines,Clinical validation gap
136,P. Memari; R. Tavakkoli-Moghaddam; M. Partovi; A. Zabihian,2018,Fuzzy dynamic location-allocation with temporary multi-medical centers in disaster management,IFAC-PapersOnLine,Scopus,10.1016/j.ifacol.2018.08.275,Iran,Emergency healthcare,General Health,Fuzzy sets (FL),Dynamic optimization,Cost; response time; coverage,"This study proposes a fuzzy dynamic bi-objective location-allocation model for disaster management that optimizes the placement of temporary medical centers. The model considers uncertain demand, patient priorities, and limited resources using fuzzy logic and queuing theory. It aims to minimize response time, patient waiting time, and operational costs while maximizing coverage of affected populations. The system adapts dynamically to changing conditions in disaster scenarios. In healthcare, it improves emergency medical service efficiency, enhances patient survival rates, and supports decision-makers in planning and allocating resources effectively during large-scale emergencies.",Qualitative: improved response efficiency,Improves allocation decisions under demand uncertainty,Real-world constraints not fully modeled,Field deployment simulations,Real-world validation gap
137,Anna Sk?ad,2019,Assessing process impacts on OSH management system effectiveness using fuzzy cognitive maps,Safety Science,Web of Science,10.1016/j.ssci.2019.03.021,Poland,Occupational safety & health,Occupational Health,Fuzzy Cognitive Maps (FCM),,Simulation analysis,"This study applies fuzzy cognitive maps to evaluate the effectiveness of occupational safety and health management systems. It models relationships between system components and simulates their impact on safety performance. In healthcare, it supports hospital safety management by identifying key factors influencing staff and patient safety. The approach enables decision-makers to improve processes and reduce risks. Simulation results show that leadership has the strongest impact on system effectiveness, providing actionable insights for improving safety performance.",Qualitative: leadership has highest impact,Identifies high-impact processes for OSH improvement,Subjectivity in mapping weights,Data-driven FCM calibration,Evidence calibration gap
138,V. Asanambigai; J. Sasikala,2018,Adaptive chemical reaction based spatial fuzzy clustering for level set medical image segmentation,Alexandria Engineering Journal,Web of Science,10.1016/j.aej.2016.08.003,India,Radiology / Imaging,General Health,Spatial fuzzy clustering (FL),Chemical reaction optimization,Segmentation performance,"This study proposes a spatial fuzzy clustering method optimized using chemical reaction optimization for medical image segmentation. It identifies optimal cluster centers to improve segmentation accuracy. The method is applied to various medical images, including brain and abdominal scans. In healthcare, it supports tumor detection and analysis by accurately segmenting abnormal regions. The approach enhances diagnostic precision and aids clinicians in identifying pathological areas. Experimental results demonstrate improved segmentation performance compared to traditional methods.",Qualitative: improved segmentation accuracy,Improves segmentation accuracy and convergence,Parameter sensitivity,Automated hyperparameter tuning,Automation gap
139,Maruturi Haribabu; Velmathi Guruviah,2025,FFSWOAFuse: Multi-modal medical image fusion via Fermatean fuzzy set and whale optimization,Computers in Biology and Medicine,Web of Science,10.1016/j.compbiomed.2025.109889,India,Radiology / Imaging,General Health,Fermatean Fuzzy Sets,Whale Optimization Algorithm,Multiple image quality metrics,"This study proposes a medical image fusion method using fermatean fuzzy sets and whale optimization algorithm. It combines multi-modal images such as MRI and CT to produce a single enhanced image. The approach improves texture, contrast, and edge preservation. In healthcare, it supports better diagnosis by providing comprehensive visual information from multiple imaging modalities. The method is evaluated using multiple metrics and compared with state-of-the-art techniques, demonstrating superior performance in both qualitative and quantitative assessments.",Qualitative: superior fusion performance,Achieves high-quality fused images,Computational cost,Real-time fusion strategies,Real-time deployment gap
140,Zhen Chao; Hee-Joung Kim,2019,Slice interpolation of medical images using enhanced fuzzy RBF neural networks,Computers in Biology and Medicine,Web of Science,10.1016/j.compbiomed.2019.05.013,China,Radiology / Imaging,General Health,Fuzzy RBF neural networks,Neural networks,ESSIM; MSD,"This study proposes an enhanced fuzzy radial basis function neural network for interpolating missing slices in medical images. It improves reconstruction quality by combining fuzzy logic with neural network learning. The method enhances structural continuity and detail recovery in CT and MRI images. In healthcare, it supports improved 3D reconstruction of medical scans, aiding diagnosis and treatment planning. The model outperforms existing methods in similarity and error metrics, demonstrating its effectiveness in handling incomplete imaging data.",ESSIM up to 0.96; lower MSD than benchmarks,Improves interpolation quality over baselines,Generalization to modalities,3D clinical validation,Reconstruction generalization gap
141,Muhammad Akram; Maheen Sultan; Cengiz Kahraman,2025,Multi-criteria group decision-making with spherical fuzzy rough numbers for biomedical materials in hip prosthesis,Journal of Industrial Information Integration,Web of Science,10.1016/j.jii.2024.100766,Turkey,Orthopedics (hip prosthesis),Physical Health,Spherical fuzzy rough numbers,Group MCDM,Comparative analysis,"This study develops a multi-criteria decision-making framework using spherical fuzzy rough numbers to select optimal biomedical materials for hip prosthesis. It evaluates materials based on biocompatibility, durability, and other clinical factors under uncertainty. In healthcare, the approach supports surgeons and engineers in selecting suitable implant materials, improving patient outcomes. The method reduces subjective bias and enhances decision accuracy. It is validated through case studies and comparison with existing methods, demonstrating reliable and consistent selection results for biomedical applications.",Qualitative: consistent optimal selection across methods,Produces robust material selection recommendations,Subjectivity of expert inputs,Integrate clinical outcome evidence,Evidence integration gap
142,Ali Çalhan; Murtaza Cicio?lu; Arif Ceylan,2021,EHealth monitoring testbed with fuzzy based early warning score system,Computers in Biology and Medicine,Web of Science,10.1016/j.cmpb.2021.106008,Turkey,General acute care (genetal monitoring of vitals),General Health,Fuzzy logic (FL),eHealth monitoring system,System performance,"This study proposes a fuzzy logic-based early warning score system integrated into an eHealth monitoring testbed. It continuously monitors vital signs such as heart rate, temperature, and oxygen saturation to assess patient health status. The system processes real-time data and calculates health risk scores. In healthcare, it enables early detection of patient deterioration, supporting timely intervention and reducing mortality risk. The framework is designed for IoT-based environments, improving remote monitoring capabilities and enhancing clinical decision support through automated risk assessment.",Qualitative: realistic monitoring and effective risk assessment,Improves early detection of deterioration,Integration into hospitals,Clinical trials and integration,Clinical deployment gap
143,Rahul Roy; Susmita Ghosh; Ashish Ghosh,2018,Speckle de-noising of clinical ultrasound images based on fuzzy spel conformity in adjacency,Applied Soft Computing,Web of Science,10.1016/j.asoc.2018.08.014,Turkey,Ultrasound imaging,General Health,Fuzzy spel conformity,Image processing,Precision; Recall; image quality indices,"This study proposes a fuzzy set-based method for speckle noise reduction in ultrasound images. It uses fuzzy membership functions and neighborhood conformity measures to suppress noise while preserving structural details. The approach improves image clarity and enhances diagnostic quality. In healthcare, it supports more accurate interpretation of ultrasound images, aiding clinicians in detecting abnormalities. The method is validated using both simulated and real clinical images, showing improved performance compared to existing denoising techniques. It also enhances downstream tasks such as segmentation and feature extraction.",Qualitative: improved denoising and segmentation performance,Improves noise reduction and preserves edges,Parameter tuning,Real-time denoising,Real-time deployment gap
144,Nataliya Chukhrova; Arne Johannssen,2022,Two-tailed hypothesis testing for the median with fuzzy categories applied to detection of health risks,Expert Systems with Applications,Web of Science,10.1016/j.eswa.2021.116362,Iran,Public / general health,General Health,Fuzzy categories,Statistical inference,Comparative statistical performance,"This study introduces a fuzzy extension of the two-tailed sign test for statistical inference in health risk detection. It incorporates fuzzy categories to handle uncertainty and improve robustness compared to classical tests. The approach is applied to body mass index data to detect health risks. In healthcare, it supports better statistical decision-making by integrating expert knowledge and handling ambiguous data. It enhances the reliability of risk detection in epidemiological studies and clinical research, particularly when dealing with uncertain or imprecise measurements common in medical datasets.",Qualitative: improved test performance vs classical methods,Improves handling of ambiguous category boundaries,Adoption in clinical practice,Integration with decision support tools,Method adoption gap
145,Ahmet Turan Demir; Sarbast Moslem,2024,Evaluating COVID-19 impact on medical waste disposal using preference selection index with CRADIS in fuzzy environment,Heliyon,Scopus,10.1016/j.heliyon.2024.e26997,Iran,Environmental health (public health),General Health,Fuzzy sets (FL),PSI; CRADIS (MCDM),Sensitivity analysis; ranking metrics,"This study proposes a fuzzy multi-criteria decision-making framework using Preference Selection Index and CRADIS methods to evaluate medical waste disposal techniques during COVID-19. It considers economic, environmental, and technical factors under uncertainty. In healthcare, the approach helps decision-makers select optimal waste management strategies, reducing infection risks and environmental impact. The framework improves sustainability and safety in handling increased medical waste during pandemics. It supports healthcare systems in planning effective waste disposal methods, ensuring compliance with regulations and minimizing health hazards associated with infectious waste materials.",Qualitative: stable and reliable ranking results,Identifies priority waste disposal strategies in pandemic context,Context dependence,Multi-site validation,Pandemic logistics gap
146,Weiwei Jiang; Yang Zhang; Haoyu Han; Xiaozhu Liu; Jeonghwan Gwak; Weixi Gu; Achyut Shankar; Carsten Maple,2025,Fuzzy ensemble-based federated learning for EEG-based emotion recognition in IoMT,Journal of Industrial Information Integration,Web of Science,10.1016/j.jii.2025.100789,Turkey,Neuroinformatics (EEG),Mental Health,Fuzzy ensemble learning,Federated learning; ensemble DL/ML,Accuracy; F1-score,"This study proposes a fuzzy ensemble-based federated learning framework for EEG-based emotion recognition in Internet of Medical Things environments. It integrates deep learning models including temporal convolutional networks, LSTM, and GRU, and combines predictions using a fuzzy ranking approach. The framework addresses challenges such as data privacy, feature extraction, and classification accuracy. In healthcare, it enables remote monitoring of patient emotional states, supporting mental health assessment and personalized care. The federated approach ensures data privacy across institutions while improving model generalization and performance for real-world clinical applications involving distributed EEG datasets.",Qualitative: superior accuracy and F1-score vs existing methods,Improves recognition performance under privacy constraints,Communication overhead,Edge-efficient federated fuzzy models,Edge deployment gap
147,George Salloum; Joe Tekli,2021,"Automated personalized nutrition assessment, recommendation, and progress evaluation using fuzzy reasoning",International Journal of Human-Computer Studies,Web of Science,10.1016/j.ijhcs.2021.102610,China,Nutrition / lifestyle health,Physical Health,Fuzzy reasoning (FL),Recommendation system,Comparative evaluation,"This study proposes a fuzzy logic-based framework for automated nutrition health assessment and personalized recommendation. It includes modules for weight assessment, caloric intake, exercise planning, and progress evaluation. The system simulates expert decision-making and evaluates performance using patient profiles and expert comparison. In healthcare, it supports personalized diet planning and monitoring. Results show that the system performs comparably or better than human nutritionists, offering a scalable and cost-effective solution for digital health management.",Qualitative: comparable or superior to human experts,"Generates personalized, understandable nutrition guidance",Data quality and adherence,Clinical dietitian validation,Adoption/engagement gap
148,Meenu Manchanda; Rajiv Sharma,2016,A novel method of multimodal medical image fusion using fuzzy transform,Journal of Visual Communication and Image Representation,Web of Science,10.1016/j.jvcir.2016.06.021,China,Radiology / Imaging,General Health,Fuzzy transform,Image processing,Objective fusion measures,"This study introduces a fuzzy transform-based multimodal medical image fusion method that combines complementary information from different imaging modalities. The method preserves important features and reduces noise and artifacts. In healthcare, it improves diagnostic decision-making by providing clearer and more informative images. Experimental comparisons demonstrate improved performance over existing fusion methods, particularly in maintaining structural and functional information, supporting accurate clinical analysis and treatment planning.",Qualitative: improved fusion quality,Produces higher-quality fused images than baselines,Limited modality generalization,Real clinical fusion evaluation,Clinical validation gap
149,Nur Al Hasan Haldar; Farrukh Aslam Khan; Aftab Ali; Haider Abbas,2017,Arrhythmia classification using Mahalanobis distance improved Fuzzy C-Means for mobile health monitoring,Neurocomputing,Web of Science,10.1016/j.neucom.2016.08.042,Spain,Cardiology (arrhythmia),Physical Health,Fuzzy C-Means (FCM),Distance metric enhancement (Mahalanobis),Classification accuracy; iterations,"This study proposes an improved fuzzy C-means clustering algorithm using Mahalanobis distance for ECG-based arrhythmia classification. It incorporates feature selection using the Mahalanobis-Taguchi system to improve classification accuracy. The approach enhances clustering of irregular heartbeat patterns and reduces computational complexity. In healthcare, it supports early detection of cardiac abnormalities and real-time monitoring in mobile health systems. Experimental results show improved classification performance compared to conventional methods and reduced iterations, making it effective for clinical decision support.",Qualitative: improved accuracy; ~53% fewer iterations,Improves arrhythmia detection over standard FCM,Noise and device variability,Real-time deployment on wearables,Wearable deployment gap
150,Changzhong Wang; Xiang Lv; Mingwen Shao; Yuhua Qian; Yang Zhang,2023,Fuzzy hierarchical fusion attention CNN for medical image super-resolution reconstruction,Information Sciences,Web of Science,10.1016/j.ins.2022.11.140,India,Radiology / Imaging,General Health,Fuzzy fusion (FL),DL (attention CNN),Reconstruction performance metrics,"This study proposes a fuzzy hierarchical fusion attention CNN for medical image super-resolution. It models pixel uncertainty using fuzzy logic and combines multiscale attention mechanisms to enhance feature extraction. The method reconstructs high-resolution images from low-resolution inputs with improved clarity. In healthcare, it enhances diagnostic accuracy by preserving fine image details in CT scans. Experimental results demonstrate improved reconstruction quality, reduced parameters, and efficient performance compared to traditional deep learning models used in medical imaging applications.",Qualitative: superior performance and efficiency,Enhances super-resolution quality over baselines,Computational demands,Efficient deployable SR models,Deployment efficiency gap
